id,email,rank_name,quantity,created_at,updated_at
,q_chouja@v-stadium.jp,S,1,,
,q_chouja@v-stadium.jp,A,4,,
,q_chouja@v-stadium.jp,B,4,,
,q_chouja@v-stadium.jp,C,3,,
,q_chouja@v-stadium.jp,D,5,,
,q_chouja@v-stadium.jp,E,6,,
,q_chouja@v-stadium.jp,F,11,,
,q_chouja@v-stadium.jp,G,16,,
,q_futuka@v-stadium.jp,S,1,,
,q_futuka@v-stadium.jp,A,4,,
,q_futuka@v-stadium.jp,B,4,,
,q_futuka@v-stadium.jp,C,3,,
,q_futuka@v-stadium.jp,D,5,,
,q_futuka@v-stadium.jp,E,6,,
,q_futuka@v-stadium.jp,F,11,,
,q_futuka@v-stadium.jp,G,16,,
,q_gakken@v-stadium.jp,S,1,,
,q_gakken@v-stadium.jp,A,4,,
,q_gakken@v-stadium.jp,B,4,,
,q_gakken@v-stadium.jp,C,3,,
,q_gakken@v-stadium.jp,D,5,,
,q_gakken@v-stadium.jp,E,6,,
,q_gakken@v-stadium.jp,F,11,,
,q_gakken@v-stadium.jp,G,16,,
,q_honbu@v-stadium.jp,S,1,,
,q_honbu@v-stadium.jp,A,4,,
,q_honbu@v-stadium.jp,B,4,,
,q_honbu@v-stadium.jp,C,3,,
,q_honbu@v-stadium.jp,D,5,,
,q_honbu@v-stadium.jp,E,6,,
,q_honbu@v-stadium.jp,F,11,,
,q_honbu@v-stadium.jp,G,16,,
,q_kasii@v-stadium.jp,S,1,,
,q_kasii@v-stadium.jp,A,4,,
,q_kasii@v-stadium.jp,B,4,,
,q_kasii@v-stadium.jp,C,3,,
,q_kasii@v-stadium.jp,D,5,,
,q_kasii@v-stadium.jp,E,6,,
,q_kasii@v-stadium.jp,F,11,,
,q_kasii@v-stadium.jp,G,16,,
,q_kbaru@v-stadium.jp,S,1,,
,q_kbaru@v-stadium.jp,A,4,,
,q_kbaru@v-stadium.jp,B,4,,
,q_kbaru@v-stadium.jp,C,3,,
,q_kbaru@v-stadium.jp,D,5,,
,q_kbaru@v-stadium.jp,E,6,,
,q_kbaru@v-stadium.jp,F,11,,
,q_kbaru@v-stadium.jp,G,16,,
,q_maebaru@v-stadium.jp,S,1,,
,q_maebaru@v-stadium.jp,A,4,,
,q_maebaru@v-stadium.jp,B,4,,
,q_maebaru@v-stadium.jp,C,3,,
,q_maebaru@v-stadium.jp,D,5,,
,q_maebaru@v-stadium.jp,E,6,,
,q_maebaru@v-stadium.jp,F,11,,
,q_maebaru@v-stadium.jp,G,16,,
